id,topic_id,author,date,content,is_topic,category_id,datetime,cleaned_text,polarity,subjectivity,sentiment,keywords
t101,101,SpaceExplorer42,2 hours ago,I just finished watching Cosmic Odyssey and that twist at the end completely blew my mind! The way they revealed that the entire journey was actually happening in a parallel universe was so unexpected. The visual effects in the final scene where the dimensions merged were absolutely stunning. What did everyone else think about the ending? Did you see the twist coming?,True,3,2025-03-25 14:53:59.853911,i just finished watching cosmic odyssey and that twist at the end completely blew my mind the way they revealed that the entire journey was actually happening in a parallel universe was so unexpected the visual effects in the final scene where the dimensions merged were absolutely stunning what did everyone else think about the ending did you see the twist coming,0.0875,0.515625,neutral,"twist,finished,watching,cosmic,odyssey"
r1,101,CinematicDreamer,1 hour ago,"The ending was incredible! I had to watch it twice to catch all the subtle hints they planted throughout the movie. The parallel universe theory actually explains so many of the ""inconsistencies"" we noticed earlier in the film.",False,3,2025-03-25 15:53:59.853912,the ending was incredible i had to watch it twice to catch all the subtle hints they planted throughout the movie the parallel universe theory actually explains so many of the inconsistencies we noticed earlier in the film,0.1380952380952381,0.35714285714285715,positive,"ending,incredible,watch,twice,catch"
r2,101,SciFiLover,45 minutes ago,"I actually predicted something similar around the halfway point, but the execution still blew me away. The visual effects team deserves an award for that final sequence!",False,3,2025-03-25 16:08:59.853913,i actually predicted something similar around the halfway point but the execution still blew me away the visual effects team deserves an award for that final sequence,0.0,0.375,neutral,"actually,predicted,something,similar,around"
r3,101,FilmAnalyst,30 minutes ago,What I appreciated most was how they kept the scientific theories relatively grounded despite the fantastical premise. The consultation with real physicists really shows in the dialogue and plot mechanics.,False,3,2025-03-25 16:23:59.853914,what i appreciated most was how they kept the scientific theories relatively grounded despite the fantastical premise the consultation with real physicists really shows in the dialogue and plot mechanics,0.21999999999999997,0.22000000000000003,positive,"appreciated,kept,scientific,theories,relatively"
t102,102,MysteryFan,5 hours ago,"I noticed several inconsistencies in the storyline of The Last Detective, especially in the final act. The biggest plot hole seems to be how the detective knew about the warehouse location without any prior clues leading there. Also, the missing evidence from the third episode was never explained. Has anyone else noticed these issues?",True,4,2025-03-25 11:53:59.853914,i noticed several inconsistencies in the storyline of the last detective especially in the final act the biggest plot hole seems to be how the detective knew about the warehouse location without any prior clues leading there also the missing evidence from the third episode was never explained has anyone else noticed these issues,-0.037500000000000006,0.2645833333333333,neutral,"noticed,detective,several,inconsistencies,storyline"
r1,102,DetectiveNoir,3 hours ago,"The warehouse plot hole bothered me too! I think they might have cut a scene that explained it, because there was a brief mention of an informant in episode 5 that never went anywhere.",False,4,2025-03-25 13:53:59.853915,the warehouse plot hole bothered me too i think they might have cut a scene that explained it because there was a brief mention of an informant in episode that never went anywhere,0.0,0.3333333333333333,neutral,"warehouse,plot,hole,bothered,think"
r2,102,MysterySolver,2 hours ago,"If you watch closely in the background of the police station scene in episode 4, you can see a sticky note with an address on the detective's desk. It's barely visible but might explain how he knew where to go.",False,4,2025-03-25 14:53:59.853915,if you watch closely in the background of the police station scene in episode you can see a sticky note with an address on the detective s desk it s barely visible but might explain how he knew where to go,0.05,0.1,neutral,"watch,closely,background,police,station"
t103,103,FilmBuff2023,1 day ago,I just finished watching Whispers of the Heart and I'm still emotional. The way they portrayed the relationship between the main characters was so genuine and heartfelt. The scene where they finally reunite after years apart brought me to tears. The musical score during that moment was perfect. Would love to hear about moments that touched you the most.,True,2,2025-03-24 16:53:59.853916,i just finished watching whispers of the heart and i m still emotional the way they portrayed the relationship between the main characters was so genuine and heartfelt the scene where they finally reunite after years apart brought me to tears the musical score during that moment was perfect would love to hear about moments that touched you the most,0.28518518518518515,0.6203703703703703,positive,"finished,watching,whispers,heart,still"
r1,103,MovieBuff,12 hours ago,The reunion scene was perfectly executed. The way they used silence and then gradually brought in the music was masterful. I also loved how they showed the characters had grown but still retained their core personalities.,False,2,2025-03-25 04:53:59.853916,the reunion scene was perfectly executed the way they used silence and then gradually brought in the music was masterful i also loved how they showed the characters had grown but still retained their core personalities,0.9,0.9333333333333332,positive,"reunion,scene,perfectly,executed,used"
r2,103,EmotionalViewer,6 hours ago,I couldn't stop crying during the letter reading scene. The voice acting was so genuine and heartfelt. This movie really knows how to portray deep emotions without being melodramatic.,False,2,2025-03-25 10:53:59.853917,i couldn t stop crying during the letter reading scene the voice acting was so genuine and heartfelt this movie really knows how to portray deep emotions without being melodramatic,0.06666666666666667,0.45,neutral,"stop,crying,letter,reading,scene"
