title,mentions,sentiment,acquisition_score,recommendation
Blade Runner,19,0.25,11.5,ACQUIRE: High positive sentiment and frequent mentions indicate strong customer interest.
The Thing,17,0.27,10.31,ACQUIRE: High positive sentiment and frequent mentions indicate strong customer interest.
Casino Night,16,0.4,9.76,ACQUIRE: High positive sentiment and frequent mentions indicate strong customer interest.
The Injury,16,0.4,9.76,ACQUIRE: High positive sentiment and frequent mentions indicate strong customer interest.
Stress Relief,16,0.4,9.76,ACQUIRE: High positive sentiment and frequent mentions indicate strong customer interest.
Dinner Party,16,0.4,9.76,ACQUIRE: High positive sentiment and frequent mentions indicate strong customer interest.
Upside Down,15,0.38,9.15,ACQUIRE: High positive sentiment and frequent mentions indicate strong customer interest.
The Vecna,15,0.38,9.15,ACQUIRE: High positive sentiment and frequent mentions indicate strong customer interest.
s The Thing. What are your favorite soundtrack releases? Any rare ones you,15,0.26,9.11,ACQUIRE: High positive sentiment and frequent mentions indicate strong customer interest.
Meryl Streep,14,0.42,8.57,ACQUIRE: High positive sentiment and frequent mentions indicate strong customer interest.
